team,wins,losses,run_diff,streak,games_played,win_pct
BAL,68,48,89,L1,116,.586
NYY,68,48,113,L2,116,.586
BOS,61,53,31,L1,114,.535
TB,58,56,-45,W1,114,.509
TOR,54,62,-85,W1,116,.466
CLE,67,47,78,L5,114,.588
MIN,63,50,52,L2,113,.558
KC,64,52,94,W1,116,.552
DET,55,61,-19,L1,116,.474
CWS,28,89,-248,L1,117,.239
HOU,59,55,44,W2,114,.518
SEA,60,56,19,W1,116,.517
TEX,54,61,-23,L2,115,.470
LAA,51,64,-88,W2,115,.443
OAK,48,68,-72,W1,116,.414
PHI,69,46,108,W3,115,.600
NYM,61,54,41,W2,115,.530
ATL,60,54,33,L5,114,.526
WSH,52,64,-60,L2,116,.448
MIA,43,73,-157,L1,116,.371
MIL,65,49,101,W3,114,.570
STL,59,57,-46,L1,116,.509
PIT,56,58,-13,L4,114,.491
CHC,57,60,7,W2,117,.487
CIN,56,59,45,W1,115,.487
LAD,66,49,89,L2,115,.574
SD,64,52,56,W5,116,.552
ARI,63,53,50,L1,116,.543
SF,59,58,-7,W2,117,.504
COL,42,74,-187,L2,116,.362
