game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct,winner,actual_winner
2025-07-23,BAL,CLE,ZACH EFLIN,SLADE CECCONI,483.0,87.32,2362.78,6.51,23.0,0.0,68.83,17.24,83.94,7.16,5.0,112.0,87.92,2235.46,6.91,5.0,0.0,65.65,17.6,82.65,7.15,2.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,GUARDIANS,CLE
2025-07-23,NYY,TOR,MAX FRIED,CHRIS BASSITT,462.0,85.82,2143.8,6.31,27.0,0.0,70.5,16.96,80.72,7.2,6.0,478.0,88.56,2328.97,6.5,19.0,0.0,70.82,15.38,81.45,7.1,5.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,BLUE JAYS,TOR
2025-07-23,BOS,PHI,LUCAS GIOLITO,JESUS LUZARDO,438.4924406047516,88.92870410367172,2289.5807343412525,6.505075593952483,25.062634989200863,0.0,69.93645788336933,18.012419006479483,83.37937365010798,7.219913606911447,5.382289416846652,460.0,88.99,2103.08,6.63,26.0,0.0,68.76,24.13,83.5,7.16,5.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,RED SOX,BOS
2025-07-23,CHW,TBR,JONATHAN CANNON,TAJ BRADLEY,444.0,91.87,2224.14,6.37,22.0,0.0,70.98,13.7,84.49,7.09,6.0,410.0,89.35,2254.78,6.21,21.0,0.0,69.4,25.82,83.4,7.05,5.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,WHITE SOX,CHW
2025-07-23,OAK,TEX,JP SEARS,PATRICK CORBIN,527.0,86.04,2160.49,6.73,34.0,0.0,71.35,13.86,84.71,7.53,6.0,424.0,86.47,2072.08,6.46,28.0,0.0,70.74,29.89,81.49,7.16,5.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,42.0,62.0,-146.0,L4,104.0,0.404,RANGERS,TEX
2025-07-23,CIN,WSH,NICK LODOLO,MICHAEL SOROKA,443.0,87.17,2602.29,6.24,24.0,0.0,69.91,22.26,82.92,7.35,5.0,567.0,89.22,2260.66,6.31,38.0,0.0,70.27,18.72,82.9,7.42,6.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,REDS,CIN
2025-07-23,SDP,MIA,DYLAN CEASE,SANDY ALCANTARA,438.4924406047516,88.92870410367172,2289.5807343412525,6.505075593952483,25.062634989200863,0.0,69.93645788336933,18.012419006479483,83.37937365010798,7.219913606911447,5.382289416846652,480.0,93.01,2670.46,6.44,34.0,0.0,69.1,24.27,81.34,7.27,5.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,MARLINS,MIA
2025-07-23,SFG,ATL,JUSTIN VERLANDER,SPENCER STRIDER,587.0,90.14,2314.16,6.94,43.0,0.0,69.33,18.51,85.53,7.44,6.0,494.0,88.75,2460.4,6.04,23.0,0.0,69.38,21.52,82.6,7.25,6.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,GIANTS,SFG
2025-07-23,DET,PIT,TROY MELTON,BAILEY FALTER,344.0,89.4,1999.38,7.27,18.0,0.0,69.25,24.8,87.86,6.97,5.0,448.5969827586207,88.94581896551725,2271.055818965517,6.511918103448275,25.176724137931036,0.0,69.97336206896551,17.93719827586207,83.3652155172414,7.211271551724138,5.456896551724138,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,PIRATES,PIT
2025-07-23,LAA,NYM,BROCK BURKE,SEAN MANAEA,216.0,87.78,2081.56,6.78,18.0,0.0,69.5,28.55,79.86,6.87,3.0,137.0,92.47,2207.49,6.82,9.0,0.0,68.75,14.3,81.36,6.84,13.0,34.93333333333333,51.0,-129.53333333333333,,85.93333333333334,0.40613333333333335,33.78947368421053,50.78947368421053,-131.21052631578948,,84.57894736842105,0.3977894736842106,METS,NYM
